Name,Intervals,Culture,Continent,Tuning,Reference,Theory,RefID,Country
Mela Dhenuka,1222131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2124",Y,1,None
Mela Natakapriya,1222212,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2125",Y,1,None
Mela Kokilapriya,1222221,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2126",Y,1,None
Mela Rupavati,1222131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2127",Y,1,None
Mela Gayakapriya,1312113,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2128",Y,1,None
Mela Vakulabharanam,1312122,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2129",Y,1,None
Mela Mayamalavagowla,1312131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2130",Y,1,None
Mela Chakravakam,1312212,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2131",Y,1,None
Mela Suryakantam,1312221,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2132",Y,1,None
Mela Hatakambari,1312311,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2133",Y,1,None
Mela Jhankaradhwani,2122113,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2134",Y,1,None
Mela Natabhairavi,2122122,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2135",Y,1,None
Mela Keeravani,2122131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2136",Y,1,None
Mela Kharaharapriya,2122212,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2137",Y,1,None
Mela Gourimanohari,2122221,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2138",Y,1,None
Mela Varunapriya,2122311,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2139",Y,1,None
Mela Mararanjani,2212113,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2140",Y,1,None
Mela Charukesi,2212122,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2141",Y,1,None
Mela Sarasangi,2212131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2142",Y,1,None
Mela Harikambhoji,2212212,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2143",Y,1,None
Mela Dheerasankarabharanam,2212221,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2144",Y,1,None
Mela Naganandini,2212311,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2145",Y,1,None
Mela Yagapriya,3112113,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2146",Y,1,None
Mela Ragavardhini,3112122,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2147",Y,1,None
Mela Gangeyabhushani,3112131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2148",Y,1,None
Mela Vagadheeswari,3112212,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2149",Y,1,None
Mela Shulini,3112221,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2150",Y,1,None
Mela Chalanata,3112311,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2151",Y,1,None
Mela Salagam,1141113,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2152",Y,1,None
Mela Jalarnavam,1141122,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2153",Y,1,None
Mela Jhalavarali,1141131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2154",Y,1,None
Mela Navaneetam,1141212,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2155",Y,1,None
Mela Pavani,1141221,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2156",Y,1,None
Mela Raghupriya,1141311,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2157",Y,1,None
